Talent,Activation,Ranked,Description,link,root,Force,sortval,rankbool,comp
Improved Shortcut,Active (Incidental),No,"When engaging in a chase or race, the character may suffer two strain to add success results equal to ranks in Shortcut to the check.",https://star-wars-rpg-ffg.fandom.com/wiki/Shortcut_talent,False,False,Shortcut-B,False,False
Showboat,Active (Incidental),No,"Once per round while piloting a starship or vehicle, the character may suffer 2 strain to showboat during their next check. If the check succeeds, the character adds a triumph result to the results. However, if the check fails, they add a despair instead. The triumph or despair results added this way so not include the success or failure results that are usually part of them, only the beneficial or negative effects of the symbol.",https://star-wars-rpg-ffg.fandom.com/wiki/Showboat_talent,True,False,Showboat-A,False,False
Shroud,Active (Incidental),No,"Force talent. Once per session, the character may spend one Destiny Point to make themselves undetectable via the Force (through abilities such as the Sense power) and to make their own Force powers unnoticeable for the remainder of the encounter. What this entails exactly is up to the player and the GM, and the GM may rule that some actions (such as lifting an X-wing with one's mind) are too obvious to be ignored. However, abilities such as manipulating control panels, lifting small objects, or using Force powers to affect someone physically or mentally go unnoticed, or the effects are attributed to something else.",https://star-wars-rpg-ffg.fandom.com/wiki/Shroud_talent,True,True,Shroud-A,False,False
Side By Side,Passive,No,"Force talent. While the character is wielding a lightsaber and engaged with one or more allies also wielding a lightsaber, add a threat result to all combat checks that target the character or those allies. (If multiple allied characters in the engagement possess this talent, the effects are cumulative.)",https://star-wars-rpg-ffg.fandom.com/wiki/Side_By_Side_talent,True,True,Side By Side-A,False,False
Side Step,Activation:,Yes,"Once per round on the character's turn, the character may perform a Side Step maneuver to try to avoid incoming ranged attacks. They then suffer a number of strain no greater than their ranks in Side Step. Until the start of the character's next turn, upgrade the difficulty of all ranged combat checks targeting the character a number of times equal to the strain suffered by the target.",https://star-wars-rpg-ffg.fandom.com/wiki/Side_Step_talent,True,False,Side Step-A,True,False
Improved Side Step,"Active (Incidental, Out of Turn)",No,"When the character performs a Side Step maneuver, until the start of their next turn, they may spend three threats or a despair result from a combat check targeting them to inflict one hit on that attacker from a Ranged (Heavy) or Ranged (Light) weapon the character is currently wielding. The hit deals its base damage plus any damage from applicable talents or abilities. This talent may not be used if the original attack incapacitates the character.",https://star-wars-rpg-ffg.fandom.com/wiki/Side_Step_talent,False,False,Side Step-B,False,False
Signature Vehicle,Passive,No,"The character choose one starship or vehicle with a silhouette of 3 or lower that they own. This starship or vehicle is the character's ""Signature Vehicle."" They upgrade the ability of all Mechanics checks made to work on the vehicle once. If the starship or vehicle is ever lost or destroyed, the character may apply Signature Vehicle to a new starship or vehicle that meets the requirements. The process of modifying and acclimating to the new vehicle may take some time, at the GM's discretion. No two characters can have the same vehicle as their Signature Vehicle.",https://star-wars-rpg-ffg.fandom.com/wiki/Signature_Vehicle_talent,True,False,Signature Vehicle-A,False,False
Sincerest Flattery,Active (Incidental),No,"Once per encounter when the character makes a check using a skill that another character has previously used during the encounter, they add two boost dice.",https://star-wars-rpg-ffg.fandom.com/wiki/Sincerest_Flattery_talent,True,False,Sincerest Flattery-A,False,False
Situational Awareness,Passive,No,"When in a starship or vehicle with functional coms, allies within short range add a boost dice to their Perception and Vigilance checks. Allies within close range add two boost dice instead. This talent operates on planetary scale, not personal scale.",https://star-wars-rpg-ffg.fandom.com/wiki/Situational_Awareness_talent,True,False,Situational Awareness-A,False,False
Sixth Sense,Passive,No,The character gains +1 ranged defense.,https://star-wars-rpg-ffg.fandom.com/wiki/Sixth_Sense_talent,True,False,Sixth Sense-A,False,False
Skilled Jockey,Passive,Yes,The character removes setback dice per rank of Skilled Jockey from their Piloting (Planetary) and Piloting (Space) checks.,https://star-wars-rpg-ffg.fandom.com/wiki/Skilled_Jockey_talent,True,False,Skilled Jockey-A,True,False
Skilled Slicer,Active (Incidental),No,"When making a Computers check, the character may spend a triumph result to gain some measure of control over the target systems. Any further Computers checks within this system can be made as maneuvers.",https://star-wars-rpg-ffg.fandom.com/wiki/Skilled_Slicer_talent,True,False,Skilled Slicer-A,False,False
Skilled Teacher,"Active (Incidental, Out of Turn)",Yes,"Before an ally at short range makes a skill check, if that ally has fewer ranks in that skill than the character does, the character may choose to immediately perform a Skilled Teacher incidental to suffer a number of strain, then add an equal number of success results to the ally's next check. The number of strain suffered cannot exceed the character's ranks in Skilled Teacher.",https://star-wars-rpg-ffg.fandom.com/wiki/Skilled_Teacher_talent,True,False,Skilled Teacher-A,True,False
Sleight Of Mind,Passive,Yes,Force Talent. The character adds a boost dice per rank of Sleight of Mind to their Stealth checks unless the being attempting to detect the character is immune to Force Powers.,https://star-wars-rpg-ffg.fandom.com/wiki/Sleight_Of_Mind_talent,True,False,Sleight Of Mind-A,True,False
Slippery Minded,Active (Action),No,"Force talent. On any turn in which the character is under the effects of a Force power, they may perform the Slippery Minded action (this action may be specifically performed even if the Force power would normally bar them from performing actions). They make a Hard Deception check. If they succeed, they are no longer under the effects of the Force power.",https://star-wars-rpg-ffg.fandom.com/wiki/Slippery_Minded_talent,True,True,Slippery Minded-A,False,False
Smart Handling,Active (Action),No,"Once per session, while aboard a starship of silhouette 4 or higher, the character may take the Smart Handling action; making a Hard Knowledge (Education) check. If the check is successful, until the start of the next round, the ship's handling increases by two plus one per advantage scored on the check to a maximum handling of +4. A triumph result can be spent to extend the effect until the end of the encounter.",https://star-wars-rpg-ffg.fandom.com/wiki/Smart_Handling_talent,True,False,Smart Handling-A,False,False
Smooth Talker,Active (Incidental),Yes,"When a character first acquires this talent, they choose one skill: Charm, Coercion, Negotiation, or Deception. When making checks with that skill, they may spend a triumph result to gain additional successes equal to their ranks in Smooth Talker.",https://star-wars-rpg-ffg.fandom.com/wiki/Smooth_Talker_talent,True,False,Smooth Talker-A,True,False
Sniper Shot,Active (Maneuver),Yes,"Once per round before making a non-thrown ranged attack, the character may perform a maneuver to attempt a Sniper Shot. Sniper Shot increases the maximum range of their ranged weapon up to one range band per rank. For each rank beyond the normal maximum of the weapon, upgrade the difficulty of the check by one (this is in addition to the increased difficulty of the shot due to longer range).",https://star-wars-rpg-ffg.fandom.com/wiki/Sniper_Shot_talent,True,False,Sniper Shot-A,True,False
Soft Spot,Active (Incidental),No,"After making a successful attack with a non-starship/vehicle weapon, the character may spend one Destiny Point to add damage equal to their Cunning to one hit of the successful attack.",https://star-wars-rpg-ffg.fandom.com/wiki/Soft_Spot_talent,True,False,Soft Spot-A,False,False
Solid Repairs,Passive,Yes,"Whenever the character repairs hull trauma on a starship or vehicle, they repair one additional hull trauma per rank of Solid Repairs.",https://star-wars-rpg-ffg.fandom.com/wiki/Solid_Repairs_talent,True,False,Solid Repairs-A,True,False
Something To Prove,Active (Incidental),No,"Once per session, the character may suffer 4 strain in order to reroll a failed check. If the check succeeds, the character heals 4 strain.",https://star-wars-rpg-ffg.fandom.com/wiki/Something_To_Prove_talent,True,False,Something To Prove-A,False,False
Soothing Tone,Active (Action),No,"Once per encounter when riding a beast, the character may perform a Soothing Tone action, attempting an Average Knowledge (Xenology) check. If successful, the beast the character is riding recovers strain equal to success results on the check (or heals that number of wounds if it does not have a strain threshold).",https://star-wars-rpg-ffg.fandom.com/wiki/Soothing_Tone_talent,True,False,Soothing Tone-A,False,False
Soresu Technique,Passive,No,"Force talent. When making a Lightsaber skill check, the character may use Intellect instead of Brawn.",https://star-wars-rpg-ffg.fandom.com/wiki/Soresu_Technique_talent,True,True,Soresu Technique-A,False,False
Sorry About The Mess,Passive,No,The character decreases the critical rating of any non-starship weapon they wield by 1 (to a minimum of 1) against targets that have not yet acted this encounter.,https://star-wars-rpg-ffg.fandom.com/wiki/Sorry_About_The_Mess_talent,True,False,Sorry About The Mess-A,False,False
Sound Investments,Passive,Yes,"At the beginning of each game session, the character gains credits equal to their ranks in Sound Investments times 100. How this money is earned is up to the player and GM, and could be actual investments, business dealings, or even a small legal or illegal side business. The GM can also decide that the current events of the adventure may make these funds unavailable.",https://star-wars-rpg-ffg.fandom.com/wiki/Sound_Investments_talent,True,False,Sound Investments-A,True,False
Spare Clip,Passive,No,The character does not run out of ammo on a despair result. Items with Limited Ammo quality run out of ammo as normal.,https://star-wars-rpg-ffg.fandom.com/wiki/Spare_Clip_talent,True,False,Spare Clip-A,False,False
Speaks Binary,Passive,Yes,The character grants a boost dice per rank of Speaks Binary to any tasks they direct Non-Player Character droids to perform.,https://star-wars-rpg-ffg.fandom.com/wiki/Speaks_Binary_talent,True,False,Speaks Binary-A,True,False
Improved Speaks Binary,Passive,No,"When the character directs a Non-Player Character droid to assist any character with a check, that droid provides an additional boost dice to the check with which it is assisting (beyond the usual benefits of assistance).",https://star-wars-rpg-ffg.fandom.com/wiki/Speaks_Binary_talent,False,False,Speaks Binary-B,False,False
Supreme Speaks Binary,Active (Maneuver),No,"Once per encounter, the character may perform the Speaks Binary maneuver, choosing one skill. Until the beginning of their next turn, a number of Non-Player Character, non-minion droids up to their ranks in Speaks Binary may use the character's ranks in the chosen skill (rather than their own ranks in that skill).",https://star-wars-rpg-ffg.fandom.com/wiki/Speaks_Binary_talent,False,False,Speaks Binary-C,False,False
Spitfire,Passive,No,"After the character makes a successful combined check with two Ranged (Light) weapons, each additional hit generated as part of the attack can be allocated to any other target within range of the weapon.",https://star-wars-rpg-ffg.fandom.com/wiki/Spitfire_talent,True,False,Spitfire-A,False,False
Spur,Active (Action),No,"The character may push an animal past its normal comfort level. When riding a beast, they may perform the spur action, attempting a Hard Survival check. With success, the beast's top speed increases by 1. The character can choose to end the effects of this at the start of any of their turns. However, if they choose to maintain the effects for that turn, the beast suffers 2 strain. The beast still cannot perform actions or maneuvers it could not perform normally (e.g., actions that have a minimum speed requirement).",https://star-wars-rpg-ffg.fandom.com/wiki/Spur_talent,True,False,Spur-A,False,False
Improved Spur,Active (Maneuver),No,"The character may voluntarily suffer 1 strain to attempt Spur as a maneuver. In addition, the difficulty of Spur is reduced to Average.",https://star-wars-rpg-ffg.fandom.com/wiki/Spur_talent,False,False,Spur-B,False,False
Supreme Spur,Passive,No,The beast the character is riding suffers 1 strain to maintain Spur's effects instead of the normal 2.,https://star-wars-rpg-ffg.fandom.com/wiki/Spur_talent,False,False,Spur-C,False,False
Stalker,Passive,Yes,The character adds a boost dice per rank of Stalker to their Coordination and Stealth checks.,https://star-wars-rpg-ffg.fandom.com/wiki/Stalker_talent,True,False,Stalker-A,True,False
Stand Firm!,Active (Action),No,"Once per encounter, the character may take the Stand Firm! action, making a Hard Leadership check. If the check is successful, the character chooses one ally within medium range for each success on the check. Until the end of the encounter, chosen allies increase their wound threshold by an amount equal to the character's Presence rating. (Multiple uses of this talent are not cumulative.)",https://star-wars-rpg-ffg.fandom.com/wiki/Stand_Firm!_talent,True,False,Stand Firm!-A,False,False
Improved Stand Firm!,Active (Action),No,Allies affected by Stand Firm! also increase their strain threshold by an amount equal to the character's Presence rating. (Multiple uses of this talent are not cumulative.),https://star-wars-rpg-ffg.fandom.com/wiki/Stand_Firm!_talent,False,False,Stand Firm!-B,False,False
Steady Aim,Passive,No,The character does not lose the benefits of the Aim maneuver if they perform other maneuvers (including moving) or actions. They do lose the benefits of the Aim maneuver if the encounter ends.,https://star-wars-rpg-ffg.fandom.com/wiki/Steady_Aim_talent,True,False,Steady Aim-A,False,False
Steady Nerves,Passive,Yes,The character removes a setback dice per rank of Steady Nerves from Cool or Skulduggery checks.,https://star-wars-rpg-ffg.fandom.com/wiki/Steady_Nerves_talent,True,False,Steady Nerves-A,True,False
Steely Nerves,Active (Incidental),No,The character may spend one Destiny Point to ignore the effects of ongoing Critical Injuries on any Presence or Willpower related checks until the end of the encounter. They still suffer from the injury itself.,https://star-wars-rpg-ffg.fandom.com/wiki/Steely_Nerves_talent,True,False,Steely Nerves-A,False,False
Stim Application,Active (Action),No,"The character may take the Stim Application action. To perform this action, they must have access to drugs, a medpac, or stimpacks. They make an Average Medicine check. If successful, one ally they are engaged with (including themselves) increases one characteristic of the character's choice by one for the remainder of the encounter, and suffers four strain. A single character's individual characteristics may each only be increased once by Stim Application during an encounter.",https://star-wars-rpg-ffg.fandom.com/wiki/Stim_Application_talent,True,False,Stim Application-A,False,False
Improved Stim Application,Active (Incidental),No,"As an incidental, when performing the Stim Application action, the character may increase the difficulty of the Medicine check to Hard. If they do so, the target of the action suffers one strain instead of four.",https://star-wars-rpg-ffg.fandom.com/wiki/Stim_Application_talent,False,False,Stim Application-B,False,False
Supreme Stim Application,Passive,No,"When performing the Stim Application action, each triumph result may be spent to increase an additional characteristic by one.",https://star-wars-rpg-ffg.fandom.com/wiki/Stim_Application_talent,False,False,Stim Application-C,False,False
Stimpack Specialization,Passive,Yes,"Whenever the character uses a stimpack, the target heals an additional wound per rank of Stimpack Specialization. The sixth stimpack and beyond each day still have no effect.",https://star-wars-rpg-ffg.fandom.com/wiki/Stimpack_Specialization_talent,True,False,Stimpack Specialization-A,True,False
Strategic Form,Active (Action),No,"Force talent. While wielding a Lightsaber weapon, the character may take the Strategic Form action, making a Hard Lightsaber (Intellect) check and rolling Force dice no greater than Force rating as part of the check. For each success, one target within short range of the character may only make combat checks if those combat checks target the character until the end of the following round. The character may spend a Force point to cause Strategic Form to affect a target for one additional round. The effects of Strategic Form end if the character is incapacitated.",https://star-wars-rpg-ffg.fandom.com/wiki/Strategic_Form_talent,True,True,Strategic Form-A,False,False
Street Smarts,Passive,Yes,The character removes a setback dice per rank of Street Smarts from their Streetwise and Knowledge (Underworld) checks.,https://star-wars-rpg-ffg.fandom.com/wiki/Street_Smarts_talent,True,False,Street Smarts-A,True,False
Improved Street Smarts,Active (Action),No,"Once per session, the character may perform the Improved Street Smarts action. They make a Formidable Streetwise or Knowledge (Underworld) check, reducing the difficulty once per rank of Street Smarts. If successful, the GM must reveal one vital clue pertaining to a current mystery the character is attempting to solve. The clue could be something that the character could not normall find out, but does not have to be the full answer to the mystery (it should be something that cancels a false lead and otherwise helps move the story along). The GM should tailor the information depending on the skill used; Streetwise may mean the character learns about the information from an ad hoc network of street urchins, while Knowledge (Underworld) may mean the character draws on their own vast knowledge about criminal enterprise to discover a previously unseen clue.",https://star-wars-rpg-ffg.fandom.com/wiki/Street_Smarts_talent,False,False,Street Smarts-B,False,False
Stroke Of Genius,Active (Incidental),No,"Once per game session, the character can choose to make one skill check using Intellect, rather than the characteristic linked to that skill. When they do this, they must explain how, in this particular instance, their intelligence is helping them overcome this challenge.",https://star-wars-rpg-ffg.fandom.com/wiki/Stroke_Of_Genius_talent,True,False,Stroke Of Genius-A,False,False
Strong Arm,Passive,No,"Characters with the Strong Arm talent treat thrown weapons as if they had one step greater range, to a maximum of medium range.",https://star-wars-rpg-ffg.fandom.com/wiki/Strong_Arm_talent,True,False,Strong Arm-A,False,False
Studious Plotting,Passive,No,"When making a Streetwise or Survival check to navigate on a world, the character may use Intellect instead of Cunning.",https://star-wars-rpg-ffg.fandom.com/wiki/Studious_Plotting_talent,True,False,Studious Plotting-A,False,False
Stunning Blow,Active (Incidental),No,"When making Melee check, the character may choose to deal damage as strain instead of wounds. This does not ignore soak.",https://star-wars-rpg-ffg.fandom.com/wiki/Stunning_Blow_talent,True,False,Stunning Blow-A,False,False
Improved Stunning Blow,Active (Incidental),No,"When dealing strain damage with Melee or Brawl checks, the character may spend a triumph result to stagger their target for one round per triumph spent.",https://star-wars-rpg-ffg.fandom.com/wiki/Stunning_Blow_talent,False,False,Stunning Blow-B,False,False
Sudden Discovery,Signature Ability,Signature Ability,"An explorer, with all their experience in the fringe, has an unnatural ability to keep their bearings - no matter how lost they may seem... even potentially discover the location of a hidden structure.",https://star-wars-rpg-ffg.fandom.com/wiki/Sudden_Discovery,True,False,Sudden Discovery-A,False,True
Sum Djem,Passive,No,"Force talent. When the character makes a successful Lightsaber combat check, they may spend a triumph or two advantage results to disarm their opponent (with GM's approval). The disarmed weapon lands anywhere within short range of the engagement (character's choice).",https://star-wars-rpg-ffg.fandom.com/wiki/Sum_Djem_talent,True,True,Sum Djem-A,False,False
Summon Item,Active (Maneuver),No,"When the character purchases this talent, choose one item they own of encumbrance 4 or less. As a maneuver, the character can summon this item to their hand or dismiss it from their hand back to the depths of Dathomir, regardless of the character's location. Once per session, the character can spend one hour to ceremonially prepare a different item to be summoned. The character can have only one item prepared in this way.",https://star-wars-rpg-ffg.fandom.com/wiki/Summon_Item_talent,True,False,Summon Item-A,False,False
Sunder (Improved),Passive,No,Each advantage result a character spends to activate a weapon's Sunder quality damages the target item two steps instead of one.,https://star-wars-rpg-ffg.fandom.com/wiki/Sunder_(Improved)_talent,True,False,Sunder (Improved)-A,False,False
Superhuman Reflexes,Active (Incidental),No,"Force talent. Once per session, when the character generates a despair result on a Piloting (Planetary) or Piloting (Space) check, they may cancel the despair result and add success results equal to their ranks in Cool to the results.",https://star-wars-rpg-ffg.fandom.com/wiki/Superhuman_Reflexes_talent,True,True,Superhuman Reflexes-A,False,False
Superior Reflexes,Passive,No,The character gains +1 melee defense.,https://star-wars-rpg-ffg.fandom.com/wiki/Superior_Reflexes_talent,True,False,Superior Reflexes-A,False,False
Supporting Evidence,Passive,Yes,"When the character assists an ally with a Charm, Deception, Leadership, or Negotiation check, that ally adds automatic advantages to the results of the check per rank of Supporting Evidence.",https://star-wars-rpg-ffg.fandom.com/wiki/Supporting_Evidence_talent,True,False,Supporting Evidence-A,True,False
Suppress,Force Ability,Force Ability,This power allows an individual to dampen and nullify the effects of opponent force powers.,https://star-wars-rpg-ffg.fandom.com/wiki/Suppress,True,True,Suppress-A,False,True
Suppressing Fire,Passive,Yes,The character and each ally within short range may spend an advantage result on their failed combat checks to inflict 1 strain on their respective targets per rank of Suppressing Fire. Each character can only activate this effect once per round.,https://star-wars-rpg-ffg.fandom.com/wiki/Suppressing_Fire_talent,True,False,Suppressing Fire-A,True,False
Surgeon,Passive,Yes,"When this character makes a Medicine check to help a character heal wounds, the target heals one additional wound per rank of Surgeon.",https://star-wars-rpg-ffg.fandom.com/wiki/Surgeon_talent,True,False,Surgeon-A,True,False
Survival Of The Fittest,Active (Incidental),No,"Force talent. Once per session, when making a single check the character may treat their Force rating as being equal to their ranks in Survival.",https://star-wars-rpg-ffg.fandom.com/wiki/Survival_Of_The_Fittest_talent,True,True,Survival Of The Fittest-A,False,False
Survivor's Instincts,"Active (Incidental, Out of Turn)",No,"Once per session after the character suffers a Critical Injury but before the result is rolled, they may spend 1 Destiny Point. Then, the attacker must roll two results for the Critical Injury and the player chooses which will apply to their character.",https://star-wars-rpg-ffg.fandom.com/wiki/Survivor%27s_Instincts_talent,True,False,Survivor's Instincts-A,False,False
Swift,Passive,No,"The character does not suffer the penalties for moving through difficult terrain (they move through it at normal speed, without spending additional maneuvers).",https://star-wars-rpg-ffg.fandom.com/wiki/Swift_talent,True,False,Swift-A,False,False
Tactical Advance,Active (Incidental),No,"While in cover, the character may suffer 2 strain to perform the Tactical Advance incidental. Until the end of the character's next turn, the character and allies within short range may move out of cover and continue to receive its benefits.",https://star-wars-rpg-ffg.fandom.com/wiki/Tactical_Advance_talent,True,False,Tactical Advance-A,False,False
Improved Tactical Advance,"Active (Incidental, Out of Turn)",No,"The character may spend two advantage results from any check they make, or two threats from a combat check targeting them to perform the Tactical Advance incidental (instead of suffering strain).",https://star-wars-rpg-ffg.fandom.com/wiki/Tactical_Advance_talent,False,False,Tactical Advance-B,False,False
Tactical Combat Training,Passive,No,Melee and Ranged (Heavy) become career skills.,https://star-wars-rpg-ffg.fandom.com/wiki/Tactical_Combat_Training_talent,True,False,Tactical Combat Training-A,False,False
Tactical Evasion,Passive,No,Upgrade the difficulty of any ranged combat checks targeting the character a number of times equal to the number of maneuvers the character has performed to move during the current round.,https://star-wars-rpg-ffg.fandom.com/wiki/Tactical_Evasion_talent,True,False,Tactical Evasion-A,False,False
Tactical Planning,Active (Incidental),No,"Once per game session when performing an activity that requires a skill check, the character may choose to substitute a Knowledge (Warfare) check for the skill check that would normally apply. When they do this, they must explain how their tactical foresight is helping them overcome the challenge.",https://star-wars-rpg-ffg.fandom.com/wiki/Tactical_Planning_talent,True,False,Tactical Planning-A,False,False
Talk The Talk,Active (Incidental),No,"When making a Knowledge skill check, the character may spend one Destiny Point to substitute Knowledge (Underworld) or Streetwise for the required skill. The GM may suitably embellish any information gathered due to a success on the check to reflect its criminal and underworld origins.",https://star-wars-rpg-ffg.fandom.com/wiki/Talk_The_Talk_talent,True,False,Talk The Talk-A,False,False
Targeted Blow,Active (Incidental),No,"On a successful attack during combat with a non-starship/vehicle weapon, the character may spend one Destiny Point to add damage equal to their Agility to one hit of a successful attack.",https://star-wars-rpg-ffg.fandom.com/wiki/Targeted_Blow_talent,True,False,Targeted Blow-A,False,False
Targeted Firepower,Active (Action),No,"Once per session the character may take the targeted Firepower action by identifying one detected enemy character, vehicle, starship, or structure and make a Hard Knowledge (Warfare) check. If successful, for the remainder of the encounter all allies within short range of the character add an automatic advantage result to their combat attacks against that target equal to successes that the character gained in the check.",https://star-wars-rpg-ffg.fandom.com/wiki/Targeted_Firepower_talent,True,False,Targeted Firepower-A,False,False
Technical Aptitude,Passive,Yes,"For each rank, the character reduces the amount of time needed to complete computer-related tasks by 25%.",https://star-wars-rpg-ffg.fandom.com/wiki/Technical_Aptitude_talent,True,False,Technical Aptitude-A,True,False
Temple Training,Active (Incidental),No,Force talent. Before making a Lightsaber skill check the character may spend one Destiny Point to add damage to the attack equal to their ranks in Knowledge (Lore).,https://star-wars-rpg-ffg.fandom.com/wiki/Temple_Training_talent,True,True,Temple Training-A,False,False
Terrify,Active (Action),No,"Force talent. The character may take a Terrify action, making a Hard Coercion check and rolling Force dice no greater than Force rating as part of the check. If successful, one target per success within medium range of the character is disoriented until the end of the next round. The character may spend two advantage results to increase the duration of disorientation for all affected targets by one round, and may spend a Force point to immobilize an affected target until the end of the next round. A character who has purchased this talent automatically gains 1 Conflict at the beginning of a game session.",https://star-wars-rpg-ffg.fandom.com/wiki/Terrify_talent,True,True,Terrify-A,False,False
Improved Terrify,Passive,No,"Force talent. The difficulty of the Terrify action decreases to Average. In addition, the character may spend a triumph result generated on the check to stagger an affected target until the end of the next round.",https://star-wars-rpg-ffg.fandom.com/wiki/Terrify_talent,False,True,Terrify-B,False,False
Terrifying Kill,Active (Maneuver),No,"Force talent. The character may spend one Destiny Point to perform a Terrifying Kill maneuver immediately after conducting a successful attack where the target is incapacitated or suffers a Critical Injury (the character must still be able to perform maneuvers, and may not perform more than two maneuvers in a turn). The character rolls Force dice no greater than their Force rating, and may spend a Force point to inflict 1 strain on any characters within short range of that target (and may do so multiple times). A character who has purchased this talent automatically gains 1 Conflict at the beginning of a game session.",https://star-wars-rpg-ffg.fandom.com/wiki/Terrifying_Kill_talent,True,True,Terrifying Kill-A,False,False
That's How It's Done,Active (Incidental),Yes,"Upon a successful skill check, the character may suffer 1 strain. If so, a number of allies within short range equal to the character's Willpower add an automatic advantage result when making the same skill check until the start of the character's next turn. The range at which That's How It's Done can affect allies increases by one band per rank of That's How It's Done beyond the first.",https://star-wars-rpg-ffg.fandom.com/wiki/That%27s_How_It%27s_Done_talent,True,False,That's How It's Done-A,True,False
The Bigger They Are...,Signature Ability,Signature Ability,The heavy-based Soldier's signature ability is all about destroying large vehicles without large weapons.,https://star-wars-rpg-ffg.fandom.com/wiki/The_Bigger_They_Are...,True,False,The Bigger They Are...-A,False,True
The Force Is My Ally,Active (Incidental),No,"Force talent. Once per session, the character may suffer 2 strain to perform a Force power action as a maneuver.",https://star-wars-rpg-ffg.fandom.com/wiki/The_Force_Is_My_Ally_talent,True,True,The Force Is My Ally-A,False,False
The Harder They Fall,Signature Ability,Signature Ability,"The Engineer is an expert at building constructs (vehicles, buildings and droids)... and this signature ability uses that expertise for demolishing them in the most efficient way possible.",https://star-wars-rpg-ffg.fandom.com/wiki/The_Harder_They_Fall,True,False,The Harder They Fall-A,False,True
There Is No Try,"Active (Incidental, Out of Turn)",No,"Force talent. Once per session before any ally rolls the dice for a check, the character may spend a Destiny Point to allow the ally to automatically succeed at the check with one success and no other results.",https://star-wars-rpg-ffg.fandom.com/wiki/There_Is_No_Try_talent,True,True,There Is No Try-A,False,False
This One is Mine,Signature Ability,Signature Ability,"The Ace is able to challenge another vessel to a duel, evading the chaos of the battlefield in an effort to take down this other vessel.",https://star-wars-rpg-ffg.fandom.com/wiki/This_One_is_Mine,True,False,This One is Mine-A,False,True
Thorough Assessment,Active (Action),No,"Once per session, the character may make a Hard Knowledge check (the GM and player should determine which Knowledge skill is most applicable in the given situation) to perform the Thorough Assessment action. If they succeed, the character may add a boost dice to one check that another character who could reasonably benefit from this information makes before the end of the encounter. For every success beyond the first, they may add a boost dice to one additional check this way. They cannot allocate more than one boost dice to any single check this way. At the end of the encounter, any unused boost dice are lost.",https://star-wars-rpg-ffg.fandom.com/wiki/Thorough_Assessment_talent,True,False,Thorough Assessment-A,False,False
Throwing Credits,Active,No,"At the beginning of the session (after the GM has rolled to trigger Obligation), the character may choose to spend 100 credits. If they do so, they ignore any penalties to their strain threshold due to Obligation being triggered (if their own Obligation is triggered, it may still have plot complications, but they ignore the mechanical penalty). This may represent the character temporarily dealing with the Obligation via a few credits, or simply indulging in some sort of diversion that takes their mind off their problems.",https://star-wars-rpg-ffg.fandom.com/wiki/Throwing_Credits_talent,True,False,Throwing Credits-A,False,False
Time To Go,"Active (Incidental, Out of Turn)",No,"The character may spend 1 Destiny point to perform a Move maneuver as an incidental to attempt to move into cover or out of the blast range of a weapon or explosion. This may be performed out of turn. This incidental occurs after the character determines he would be hit by the blast, but before damage is applied.",https://star-wars-rpg-ffg.fandom.com/wiki/Time_To_Go_talent,True,False,Time To Go-A,False,False
Improved Time to Go,"Active (Incidental, Out of Turn)",No,"When activating Time to Go, the character may allow one ally they are engaged with to also perform an out of turn Move maneuver as an incidental to attempt to move into cover or out of the blast range of a weapon or explosion.  This incidental occurs after the ally determines they would be hit by the blast, but before damage is applied.",https://star-wars-rpg-ffg.fandom.com/wiki/Time_To_Go_talent,False,False,Time to Go-B,False,False
Tinkerer,Passive,Yes,"The character makes one piece of equipment more modifiable. They choose one piece of equipment and increases its number of hard points by one. They can only do this once per piece of equipment, but can modify a number of pieces of equipment equal to their ranks in Tinkerer. If they lose a modified piece of equipment, they may apply Tinkerer to a new one.",https://star-wars-rpg-ffg.fandom.com/wiki/Tinkerer_talent,True,False,Tinkerer-A,True,False
To The Death!,Active (Maneuver),No,"Once per session, the character may take the To the Death! maneuver, suffering strain no greater than their Willpower rating. For each strain suffered this way, add +10 to Critical Injury rolls the character inflicts and suffers until the end of the encounter.",https://star-wars-rpg-ffg.fandom.com/wiki/To_The_Death!_talent,True,False,To The Death!-A,False,False
Touch Of Fate,Active (Incidental),No,"Force Talent. Once per game session, the character may add two boost dice to any one skill check.",https://star-wars-rpg-ffg.fandom.com/wiki/Touch_Of_Fate_talent,True,False,Touch Of Fate-A,False,False
Toughened,Passive,Yes,The character increases their wound threshold by two per rank of Toughened.,https://star-wars-rpg-ffg.fandom.com/wiki/Toughened_talent,True,False,Toughened-A,True,False
Improved Toughened,Active (Incidental),No,"Once per session, the character may heal a number of wounds equal to their ranks in Toughened.",https://star-wars-rpg-ffg.fandom.com/wiki/Toughened_talent,False,False,Toughened-B,False,False
Translation Error,Active (Incidental),No,"Once per encounter, the character may remove a despair from the results of a social skill check they make.",https://star-wars-rpg-ffg.fandom.com/wiki/Translation_Error_talent,True,False,Translation Error-A,False,False
Transmogrify,Active (Incidental),No,"Force talent. When making a crafting check, the character may add Force dice no greater than Force rating to the check. The character may spend a Force point to add a success to the result, and may spend two Force points to add an advantage to the result.",https://star-wars-rpg-ffg.fandom.com/wiki/Transmogrify_talent,True,True,Transmogrify-A,False,False
