,Equipment,Skill,Damage,Crit,Range,Encumbrance,Hard Points,Price,Rarity,Restricted,Qualities,Description,Type,Defense,Soak
273,Combat Utility Vibroblade,Melee,1,2,Engaged,2,0,600,7,No,"Pierce 2, Vicious 1","This is essentially a multi-tool attached to a vibro-dagger. Used as a weapon with some limited ability to be used for other activities. This serves as a tool kit to repair and conduct maintenance, though adds 1 setback die to the checks. Add 1 boost die to survival checks.",weapon,,
274,NanoDagger,Melee,1,2,Engaged,1,0,700,6,No,"Pierce 5, Vicious 1","This small knife is part of Xana Exotic Arms' mono-molecular blade weapons. Unfortunately, due to the construction of this weapon, it is prone to breaking. Rolling 3 disadvantages may cause the weapon to be damaged.",weapon,,
275,Clip-point Vibrodagger,Melee,1,2,Engaged,1,1,550,5,No,"Pierce 3, Vicious 1","A product of the survival enthusiasts from Toprawa, the 'aKraB is a dagger engineered to penetrate thick armour at close range, making it useful for killing stormtroopers.",weapon,,
276,Stealth Vibroknife,Melee,1,2,Engaged,1,1,350,6,No,"Pierce 1, Vicious 1","As small as a shank, this small piece of equipment is easily kept concealed. Being a vibro-weapon, it can be as deadly as any normal knife but a fraction of the size. Add 2 setback dice to Perception checks to find the steatlh knife on a person's body.",weapon,,
277,Parrying Vibroblade,Melee,1,2,Engaged,1,2,400,6,No,"Defensive 1, Pierce 2, Vicious 1","Just a high tech version of the parrying dagger, with a vibration generator.",weapon,,
278,Vibroknife,Melee,1,2,Engaged,1,2,250,3,No,"Pierce 2, Vicious 1","This weapon is an enhanced combat knife, though due to its ultrasonic vibration of the blade, it is much louder and less useful for stealth.",weapon,,
279,Spray Stick,Melee,2,-,Engaged,4,0,2500,8,No,"Inaccurate 1, Stun Damage","This ancient design was used by the Stokhli for hunting the incredibly aggressive megafauna of their homeworld. They have a spray-net mist which immobilises a target, with the other end of the weapon bearing a stun-pad. Can be used as a melee weapon",weapon,,
280,Drall Flashstick,Melee,2,-,Engaged,2,2,375,4,No,"Disorient 3, Stun Damage","This weapon is used by Drall constabulary to clear out the undesirables, a well designed non-lethal solution to removing people. ",weapon,,
281,Truncheon,Melee,2,5,Engaged,2,0,15,1,No,Disorient 2,"Essentially, a mace, typically used by law enforcement and individuals who do not wish to mortally wound anyone.",weapon,,
282,Riot Control Baton,Melee,2,5,Engaged,2,1,1000,4,No,"Cortosis, Disorient 2, Stun Damage",This is a large extendable baton which contains a few conductors to produce an energy field capable of shocking the target as well as deflecting plasma weapons such as lightsabers.,weapon,,
283,Animal Shock Prod,Melee,2,4,Engaged,4,2,1000,4,No,"Concussive 1, Slow Firing 1, Stun Setting",This long staff allows a trainer to may be used to control beasts or knock out other individuals with a strong electrical discharge (which requires recharge before using it again).,weapon,,
284,Voss Warspear,Melee,2,4,Engaged,4,2,215,8,No,Defensive 2,"This is crudely a double-edge blade at the end of a very long pole. They are simple and primitive weapons which are typically used by law enforcement. Although being 1 handed, other weapons (not shields) may not be wielded at the same time.

This may be thrown with Ranged (Light) up to Short range.",weapon,,
285,Stun Baton,Melee,2,4,Engaged,3,2,500,3,No,"Cumbersome 3, Disorient 2, Stun 3","This stave is used by many law enforcement organisations to subdue targets with minimal force and wounds. However, it does have a reputation for having some significantly damaging bludgeoning damage.",weapon,,
286,Gungan Electropole,Melee,2,4,Engaged,3,2,450,5,No,"Stun 3, Stun Setting","This pole-arm is used by Gungan militia and herders, used while mounted most of the time. This may be thrown with Ranged (Light) up to Short range.",weapon,,
287,Staff of Office,Melee,2,4,Engaged,3,2,350,6,No,"Defensive 1, Disorient 2","Many cultures distribute symbols of their office, and often these appear as staves or walking sticks. They are often permitted into secure locations, despite their ability to be used as a weapon, due to their cultural importance. Requires 2 hands to wield.

Add 2 boost dice when attempting to convince a characters to allow him to retain his staff of office.",weapon,,
288,Hand Grinder,Melee,2,4,Engaged,5,4,500,3,No,"Cumbersome 3, Prepare 1, Vicious 4","This piece of equipment is a rotating wheel made of a rough material, allowing one to polish metal surfaces and 'sanding' down edges so that plates fit better together. Add automatic advantage to crafting checks that involves shaping large pieces of material.

Requires 2 hands to use as a weapon.",weapon,,
289,Gaffi Stick,Melee,2,3,Engaged,3,0,100,2,No,"Defensive 1, Disorient 3","The iconic weapon carried by the Tusken Raiders of Tatooine is both a spear and club, even used to assist in their treks across the desert. Requires 2 hands to wield.",weapon,,
290,Sword Cane,Melee,2,3,Engaged,2,1,475,6,No,Defensive 1,"This traditional accessory of the aristocracy, concealing weapons within canes is popular among those who worry about their safety but wish to keep up an appearance of civility. Add 1 setback die to Perception checks to determine a sword cane is a lethal weapon.",weapon,,
291,Corellian Cutlass,Melee,2,3,Engaged,2,1,300,3,No,"Defensive 1, Vicious 1","This ornamental blade is traditionally granted to Corellian naval officers when promoted to lieutenant. It is an effective weapon, despite being for show.",weapon,,
292,Molecular Dagger,Melee,2,3,Engaged,1,1,100,4,No,Pierce 2,"This combat knife sized weapon has a blade with mono-molecular thick edges. This allows them to quickly cut through most armour, but also means it can easily break. Getting 3 disadvantages on a check may cause the blade to shatter.",weapon,,
293,Cryogen Whip,Melee,2,3,Short,1,1,1550,7,No,"Ensnare 1, Vicious 2, Unwieldy 3",This is a metallic whip which at the core is filled with a super-cooled liquid. It can be used at short range using the same difficulty as engaged (2 purple dice).,weapon,,
294,Ashla Staff,Melee,2,3,Engaged,4,2,3000,7,No,-,"This weapon is akin to a relic since the Fall of Lasan after the fall of the republic. These staves were created to reflect the mysticism of the Lasan people, imbued with a mysterious power that some may attribute to the force. While wielding this staff, a character may spend 3 strain to add 1 light force result to the results of a force power check.",weapon,,
295,Bardottan Electrolance,Melee,2,3,Engaged,3,2,300,5,No,"Defensive 2, Stun Setting","This ceremonial weapon is weighted at each side, used traditionally by the Bardottans, mainly by law enforcement. Although being 1 handed, other weapons (not shields) may not be wielded at the same time.",weapon,,
296,Cortosis Sword,Melee,2,3,Engaged,3,2,1350,7,No,"Cortosis, Defensive 1","This is another form of an ancient sword, however, built to withstand the blow of a lightsaber - making its wielder a dangerous foe to the Jedi and Sith.",weapon,,
297,Findsman Shockprod,Melee,2,5,Engaged,3,1,1400,6,No,"Cortosis, Defensive 1, Stun Damage","The Findsman are a Force sect from the mist-shrouded world of Gand. Originally religious leaders, the Findsmen once sat atop Gand society in a role that has diminished in the wake of modern sensor technology. The Findsmen of old employed scratch-built shockprods to ply their trade. Part weapon and part tuning fork, their split-ended polearms helped guide the Findsmen through the impenetrable mists. When a character wielding a Findsman shockprod makes a Seek, Sense or Farsight power check, they may add one light or dark side point to the results.",weapon,,
298,Mon Cal Spear Blaster,Melee,2,3,Engaged,5,3,1350,5,No,Pierce 1,"Wielded by the Mon Calamari during the Battle of Mon Cala, the spear blaster is built for function in and out of water.",weapon,,
299,Model 7 Therm-Ax,Melee,2,3,Engaged,4,3,850,5,Yes,"Burn 2, Sunder, Vicious 1","This large axe is fitted with conductive coils in the blade which super-heat it up to 500 degrees, allowing it to cut through anything like butter. Requires 2 hands to wield.",weapon,,
300,Ceremonial Blade,Melee,2,3,Engaged,2,3,650,7,No,Defensive 1,"Distributed to high officials in militaristic cultures of the galaxy, ceremonial blades often display great craftsmanship and ornaments. Taking such a blade off an official may even cause diplomatic disasters. Add 1 boost die when attempting to convince people to let them keep the knife.",weapon,,
301,Vibrorang,Melee,2,2,Engaged,1,0,300,4,No,"Inaccurate 1, Pierce 2, Vicious 1","Only seen in more remote areas of the galaxy, this throwing weapon has incorporated vibro-blade technology and can be hurled at amazing distances.",weapon,,
302,Vibro-Machete,Melee,2,2,Engaged,2,1,550,4,No,"Pierce 1, Sunder, Vicious 1",This is simply a machete fitted with the augmentations of a nano-vibration generator.,weapon,,
303,Kal Dagger,Melee,2,2,Engaged,1,1,4000,8,Yes,"Cortosis, Sunder, Vicious 2","This dagger was the traditional accompanying blade to the Beskad, an elongated hexagonal blade with a bare hilt and lacking a crossguard.",weapon,,
304,Model 14 Vibrospear,Melee,2,2,Engaged,4,2,490,6,No,"Defensive 1, Pierce 2, Vicious 2","This weapon designed by Merr-Sonn Munitions is a light hunting spear. However, it makes quite a bit of noise, lacking a strong dampener for the nano-vibration generator. May spend 2 disadvantages to have the weapon make a loud noise, adding 2 setback dice to survival checks for tracking an animal.",weapon,,
305,Vibrorapier,Melee,2,2,Engaged,2,2,1200,7,No,"Defensive 1, Pierce 5",This slender and specially balanced vibrosword is often used by those preferring honourable duels and a more civilised melee fight.,weapon,,
306,Double-Bladed Vibrosword,Melee,2,2,Engaged,4,3,1300,6,No,"Defensive 1, Linked 1, Pierce 2, Vicious 1, Unwieldy 3","These relatively heavy weapons are extremely difficult to master, but once mastered, they allow a user to take on multiple opponents simultaneously. This weapon requires two hands to wield.",weapon,,
307,Vibro-Glaive,Melee,2,2,Engaged,3,3,975,6,No,"Defensive 2, Pierce 3","This long weapon, often wielded by the Weequay, is popular due to the ability to keep one's foe at a distance while conducting attacks.",weapon,,
308,Vibrosword,Melee,2,2,Engaged,3,3,750,5,No,"Defensive 1, Pierce 2, Vicious 1",This is a sword mounted with an ultrasonic vibration generator - to increase the damage dealt by the already razor sharp blade.,weapon,,
309,Ryyk Blade,Melee,2,2,Engaged,3,3,400,8,No,"Cumbersome 3, Defensive 1, Superior","This is the traditional blade used by the Wookiees, unchanged over a millennia, it is still preferred to the more modern vibro weapons.",weapon,,
310,Welding Rod,Melee,3,2,Engaged,4,0,1750,5,No,"Breach 1, Inaccurate 2","This tool allows a technician to both weld together and cut metal apart rapidly, used extensively in all sorts of work-zones. However, they are somewhat dangerous to use without proper PPE. Add an automatic success result to Mechanics checks to repair droids, vehicles and starships.

A despair result may cause the user to suffer a critical injury.",weapon,,
311,Cortosis Staff (Refined),Melee,3,5,Engaged,4,2,2500,7,No,Cortosis,"A simple tool and weapon, used by those training in martial arts and the way of the jedi, this weapon has the ability to disrupt lightsabers. While in combat with a lightsaber wielder, may spend 3 disadvantage results from an opponent's combat roll targeting them to short out the lightsaber. Alternatively, may spend 3 advantage results from own combat check to short out the opponent's lightsaber.",weapon,,
312,AB-75 Bo-Rifle,Melee,3,4,Engaged,4,4,900,7,Yes,Stun Setting,"The Bo-Rifle was once a ceremonial weapon of the Honor Guard of Lasan. Used by the best warriors among the Lasat, these weapons were designed as a melee and ranged weapon.",weapon,,
313,Poleaxe,Melee,3,3,Engaged,5,1,610,4,No,"Defensive 1, Pierce 2, Unwieldy 2",This thin poleweapon is tipped with an axe sporting a monomolecular edge - making it especially effective in combat.,weapon,,
314,Duskblade,Melee,3,3,Engaged,2,1,1800,8,No,"Pierce 2, Superior","This short sword is the most common blade wielded by the Nightsisters of Dathomir. Used both in combat and as a ceremonial piece, it was designed to be both beautiful and deadly.",weapon,,
315,Huntsman Vibrospear,Melee,3,3,Engaged,4,2,950,6,No,"Pierce 2, Vicious 2","This is produced by the fine vibro-weapon crafting group LaserHone. Quite a rare model, the spear's loud motor is built into the shaft, which itself is made out of sound-deafening materials. Requires two hands to wield.",weapon,,
316,Selonian Glaive,Melee,3,3,Engaged,5,3,1200,7,No,"Defensive 1, Pierce 3","Individually crafted by Selonian females as a rite of passage, these weapons are often of sublime craftsmanship. The blades are made out of a particularly stronger form of obsidian, providing a deadly cutting edge.",weapon,,
317,Beskad,Melee,3,2,Engaged,4,2,6500,8,Yes,"Cortosis, Cumbersome 3, Sunder, Vicious 3","Crafted from Beskar, this saber is a heavy single-handed short sword traditionally wielded by the Mandalorians.",weapon,,
318,Mon Calamari Energy Lance,Melee,3,2,Engaged,4,2,1500,6,No,"Cumbersome 3 (dismounted), Pierce 3","These weapons are made to be used from a mount, against light vehicles and droids. However, they may inflict considerable damage upon organic beings too. May use brawn of their mount to determine the damage of the weapon instead of their own.",weapon,,
319,Powersword,Melee,3,2,Engaged,4,3,1050,6,No,"Cumbersome 3, Pierce 2, Sunder, Knockdown, Vicious 2","Powerswords are oversized vibroswords with high output vibrofield generators. This weapon is designed for heavy slashes and cuts, too heavy for precision dueling. This weapon requires two hands to wield.",weapon,,
320,Vibro-Greatsword,Melee,3,2,Engaged,4,3,900,6,No,"Defensive 1, Pierce 2, Vicious 2","This is a much larger and heavier vibro-sword, favoured by the truly skilled and stronger swordsmen. Requires 2 hands to wield.",weapon,,
321,Vibro-ax,Melee,3,2,Engaged,4,3,750,5,No,"Pierce 2, Sunder, Vicious 3",This massive pole-axe has a head which has an ultrasonic vibration generator which enhances its damaging power.,weapon,,
322,Mon Calamari Coral Pike,Melee,3,2,Engaged,3,3,1000,6,No,"Defensive 1, Pierce 2","These hand-made weapons are crafted as a ceremonial display of rank and family status. However, they have a near monomolecular edge, expertly produced.",weapon,,
323,Force Pike,Melee,3,2,Engaged,3,3,500,4,No,"Pierce 2, Stun Setting","This weapon is commonly used for herding, but yields results in the right hands for combat.",weapon,,
324,Thermal Cutter,Melee,4,4,Engaged,2,0,125,3,No,"Burn 1, Inaccurate 2",This piece of Corpora-Tech equipment is designed for cold-weather expeditions as it allows to cut through and melt ice and snow in one's path. It has a charge of 5 minutes of continuous use (may be plugged into fusion lantern to recharge). ,weapon,,
325,Tuskbeast Pike,Melee,4,3,Engaged,3,1,1050,8,No,"Defensive 1, Knockdown","Originally designed for hunting the giant and mutated tuskbeasts, now that they are extinct, the supply is limited. This is due to the fact that they were traditionally carved from the tusks of the beast. Requires 2 hands to wield.",weapon,,
326,Weik Greatsword,Melee,4,3,Engaged,4,2,315,8,No,"Cumbersome 4, Defensive 1",This especially large weapon was once used by force sensitives before the availability of lightsabers.,weapon,,
327,Electrostaff,Melee,4,3,Engaged,4,3,4500,6,No,"Cortosis, Cumbersome 3, Linked 1, Stun Setting, Unwieldy 3","This double sided weapon is weaved with cortosis, allowing it to be used as an effective weapon against lightsaber wielding foes.",weapon,,
328,Vibrosaw,Melee,4,2,Engaged,6,3,1500,5,No,"Cumbersome 5, Pierce 2, Sunder, Vicious 2","This weapon is often used by wood-working companies, consisting of a large blade with an extremely loud motor and is especially bulky to use.",weapon,,
329,Fear Stick,Melee,5,-,Engaged,1,0,1500,8,No,"Limited Ammo 3, Pierce 1, Stun Damage","This small weapon is made to be discrete. It contains a potent neurologic component which is able to illicit an overwhelming fear response in the target. Add 2 setback dice to Perception checks to find a fear stick on the wearer's body.

May spend critical success result to force a living (non droid) target to make a formidable (5 difficulty) Fear check.",weapon,,
330,Electromag-Pulse Disruptor,Melee,5,4,Engaged,1,0,180,5,No,"Disorient 1, Ion","This slim weapon is particularly useful at fighting off droids in a combat situation, as well as for general electronic sabotage. Add 2 boost dice to checks for sabotaging electronics or computer systems. Add 1 setback dice to Perception checks for finding this weapon.",weapon,,
331,G9-GP Pulse Drill,Melee,5,4,Engaged,5,2,1100,4,No,"Breach 1, Cumbersome 3, Inaccurate 2","This is a beam drill that is quite bulky but very useful for quick cutting in a pinch. However, it is also capable of being used as an improvised weapon.",weapon,,
332,Thunderbolt Shock Prod,Melee,5,3,Engaged,2,2,875,6,No,"Concussive 1, Stun Damage","This is a particularly heavy weapon and brutal, mostly used on thick skinned creatures or herd animals. It is often seen as a symbol of an oppressive regime or animal agriculture.",weapon,,
333,TZ-97 Shock Baton,Melee,5,4,Engaged,2,2,900,6,No,"Concussive 1, Stun Damage","This baton was specifically distributed to clone military police and anti-riot units, often seen in the streets of Coruscant with Shock Trooper patrols. The charge stored often short-circuits most sentients' nervous systems.",weapon,,
334,Fusion Cutter,Melee,5,3,Engaged,2,0,175,2,No,"Breach 1, Burn 3, Sunder, Vicious 3","Fusion cutters are used for cutting through the hardest alloys such as durasteel, duraplast and armoured ship hulls. However, they can also be used as a crude weapon.",weapon,,
335,Z2 Stun Baton,Melee,5,2,Engaged,2,2,875,6,No,"Concussive 1, Stun Damage","This weapon is a typical police truncheon, except packed with an extra punch in the form of a stun blast. It is used extensively by enforcers and riot police in the fringe.",weapon,,
336,Arg'garok,Melee,5,3,Engaged,5,3,1000,7,No,"Cumbersome 5, Inaccurate 1, Pierce 1, Sunder","This massive vibro-ax is traditionally used by the Gamorrean. They are actually a poorly built and unnecessarily oversized weapons, used only by the most excessive and brawly people. Requires 2 hands to wield.",weapon,,
337,Electronet,Melee,6,6,Engaged,2,0,350,6,No,"Ensnare 5, Knockdown, Limited Ammo 1, Stun Damage",This net is made up of stun weave and beads which may be used to trap and capture a target alive.,weapon,,
338,CS-12 Stun Master,Melee,6,3,Engaged,1,0,575,3,No,"Disorient 2, Stun Damage","This extremely small weapon is convenient for keeping hidden, and is legal to conceal and carry on most worlds - as it makes an excellent personal defense non-lethal tool. Add 1 setback die to a character's Perception check to find the weapon.",weapon,,
339,Shockprod Staff,Melee,7,3,Short,4,3,1500,7,No,"Disorient 2, Stun Setting","This staff is a traditional weapon of the Gand. It is built from strong alloys, tipped with a powerful set of electrodes which generate a strong stun field. The electrical field can be fired as a bolt of energy up to a few metres away. This weapon requires two hands to wield.",weapon,,
340,Morgukai Cortosis Staff,Melee,8,1,Engaged,3,0,9000,10,Yes,"Breach 1, Cortosis, Defensive 1","Used by a cult that fought both Sith and Jedi alike, these staves are built out of a cortosis weave, making them resistant to lightsaber's power. They also use the same sort of plasma weaponry as a lightsaber.",weapon,,
341,J-7b Beamdrill,Melee,9,2,Engaged,6,0,3000,5,No,"Breach 1, Cumbersome 4, Inaccurate 2, Sunder","The standard drill used by the Corellian Mining Corporation, this tool has been used since before the Clone Wars. Used as a makeshift weapon, the drill can be extremely lethal.",weapon,,
342,Ion Pike,Melee,10,3,Engaged,2,1,750,6,No,"Inaccurate 1, Ion, Pierce 4","Used by more ruthless droid owners, the pike is capable of quickly disabling a malfunctioning or escaped droid. The pointed tip is used to pierce the armour plating of a droid, allowing the ion charge to release directly into the circuits.",weapon,,
343,Training Stick,Lightsaber,1,5,Engaged,2,0,35,3,No,"Accurate 1, Disorient 1, Stun Damage",This stick looks like little more than a walking stick - but is actually perfectly balanced for melee combat training for lightsabers. Add 3 setback dice to realize the stick is a weapon.,weapon,,
344,Ancient Sword,Lightsaber,2,3,Engaged,3,1,350,8,No,Defensive 1,"This old physical weapon is from a time before lightsabers, used by the Jedi and Sith alike in their ancient battles.",weapon,,
345,Diplomat's Robes,,,,,2,0,400,6,No,,"Robes of this type are worn by ambassadors, senators and other officials engaging in important negotiations. They are generally immediately recognizable, providing their wearers the status they deserve.  Add 1 boost die to social checks related to diplomatic authority and when attempting to bypass procedure due to status",armor,0.0,0.0
346,Riding Tack (for animals),,,,,2,0,250,4,No,,"This a fully equipped riding tack, designed for quality and reliability. Can only be equipped to beasts. Allows riding of the beast without suffering the bareback penalties.",armor,0.0,0.0
347,Cargo Clothing,,,,,1,0,30,0,No,,Cargo clothes are found worn by engineers and others in every spaceport of the galaxy. They are useful for carrying the right tools for the job. Carry up to 3 items of encumbrance 1 or lower without them counting towards the encumbrance threshold.,armor,0.0,0.0
348,Banal Apparel,,,,,0,0,25,0,No,,Sometimes a simple set of commoner's clothes is enough stealth apparel for most situations. Upgrade the difficulty of checks to identify wearer once,armor,0.0,0.0
349,Performer's Attire,,,,,0,0,50,4,No,,"Diplomats perform on the political stage, but some may dabble in artistic performance. These clothes facilitate a performance, often being flashy but with freedom of movement. Add 1 boost die to checks for attracting attention or performing",armor,0.0,0.0
350,Tracker Utility Vest,,,,,-,1,100,2,No,,"This gear has a set of load-bearing straps and pockets, a suit favoured by explorers all over the galaxy. It allows for equipment to be easily carried and accessible. Increase encumbrance threshold by 2",armor,0.0,0.0
351,Noble Regalia,,,,,1,3,750,7,No,,"This set of clothes is generally of inconvenient couture, prioritizing appearance over all else. Yet in the right cultures, confers upon the wearer their due status. Downgrade the difficulty of social checks to interact with other nobility and subordinates twice.",armor,0.0,0.0
352,Flare Jacket,,,,,3,0,1500,8,No,,"The flare jacket contains a set of charges that release a blinding light upon release, produced experimentally by both military and high end clothing companies. Once per encounter, a character wearing the jacket can trigger the charges as a maneuver. Everyone in short range (except the wearer) must make a Hard (3 difficulty) Vigilance check. Failure leads to being staggered for 1 round, plus 1 per 3 disadvantages",armor,0.0,1.0
353,Beast-Hide Armour,,,,,3,0,300,2,No,,"This set of clothing is built from the hides of animals, worn by survivalists and fringers.  Add an advantage result to Coercion checks and a threat result to Charm checks.",armor,0.0,1.0
354,Resplendent Robes,,,,,2,0,500,5,No,,"Some members of the galaxy enjoy being the centre of attention. These robes are designed to draw attention, allowing others to go about their business without being noticed. When purposely drawing attention to self, allies in medium range gain 1 boost die to Perception, Skulduggery and Stealth checks",armor,0.0,1.0
355,Protective Gear,,,,,1,0,450,1,No,,"This outfit is seen all around the galaxy, used by engineers in vehicle pools, hangars and most small industrial operations. It comes with dark-tinted goggles and face-mask, as well as thick gloves and a reinforced apron. Wearer ignores the effects of fires or acids of rating 1 or 2. Counts as soak +2 against damage from weapons with the Blast quality (but only when that quality is being used to inflict damage.",armor,0.0,1.0
356,Concealing Robes,,,,,1,0,150,2,No,,"Once used by most Jedi Knights, this heavy set of cloth robes is useful to avoid identification by others. Add 1 setback die to an opponent attempting to identify the wearer.",armor,0.0,1.0
357,Nomad Greatcoat,,,,,1,0,100,4,No,,"This outfit has become popular since the Corellian military adopted it from the inhabitants of the Nomad Mountains. It is efficient at protecting from the cold, and quite comfortable.  Reduce difficulty of checks to resist cold &amp; extreme environments by 1. Remove 1 setback dice imposed due to extreme cold from checks",armor,0.0,1.0
358,Alliance Engineer's Helmet & Vest,,,,,1,0,75,1,No,,"Engineers, civilian or military, need appropriate protective equipment during construction efforts. This is the standard distribution of that equipment by the Alliance. Wearer has an innate rank of the Durable talent.",armor,0.0,1.0
359,Heavy Clothing,,,,,1,0,50,0,No,,"A good leather jacket, technician's jumpsuit, or a thick woolen cloak won't stop much damage, but it's certainly better than nothing. Most characters living on the edge of the Empire favor heavy clothing for everyday wear.",armor,0.0,1.0
360,Karflo Thinsuit,,,,,0,0,1200,6,No,,"Used by professional scouts, science labs, and special forces the galaxy over, the thinsuit by Karflo Corporation is among the most popular environmental protection gear around. While the most protective equipment specializes in keeping the wearer safe from exposure to a particular environmental condition, the thinsuit provides protection against a wide variety of dangerous environments without hampering movement or slowing reaction speeds. Despite the fact that it grants minimal protection against blasters and other armaments, the ease of transporting it makes it a popular addition to the kit of many elite combat units. Made from a proprietary material that regulates internal conditions while blocking external ones, the thinsuit protects from dangerous temperatures, pressure, radiation, chemicals, and partial vacuums.  The thinsuit is a skin-tight body glove, weighing only one kilogram which provides total coverage for standard humanoids, leaving only the face exposed. The suit comes with a facemask and filtration system that purifies standard atmosphere for up to six hours and provides one hour of internal power. The stock suit comes with six removable filters and power packs, easily stored in the its many pockets.  A character equipped with a thinsuit removes [SETBACK] [SETBACK] imposed by the environment in which she is currently operating from her checks.",armor,0.0,1.0
361,Cloaking Coat,,,,,4,1,550,8,Yes,,"The slicer generally breaks into electronic defenses, through both automated and droid interfaces. This cloak is laced with a set of sensors which broadcast junk-data, obscuring the bio-signature which would otherwise be detected by anti-personnel systems.  Upgrade difficulty of all checks to detect wearer using sensors or electronic forms of detection twice. This applies to droids with Intellect characteristic lower than the wearer's Computers skill.",armor,0.0,1.0
362,Mk. III Flak Vest,,,,,3,1,300,2,No,,"This is a basic jacket designed specifically for defense against explosive weapons, producing little defense against other forms of weaponry. Gain +1 soak against damage of the Blast quality",armor,0.0,1.0
363,Blast Vest,,,,,3,1,200,3,No,,"This outfit is built from some more primitive fabrics that were especially good at dissipating the impact of slugthrowers. However, they do little against energy weapons.  Gain +2 soak against slugthrowers and other physical projectile weapons.",armor,0.0,1.0
364,G-Suit,,,,,2,1,2000,3,No,,"G-suits or gravity suits, are special garments worn under flight suits by pilots and racers who are regularly exposed to high g-forces, such as those experienced while racing or performing aggressive aerobatics. G-suits use inflatable bladders, pressurized gel pockets, and compression garments to keep the pilot's blood from pooling in their lower extremities, causing a dangerous condition known as, G-LOC (g-induced loss of consciousness) which occurs when the brain is deprived of blood. G-suits pilots to push their ships or vehicles further and operate them more aggressively without fear of blacking out.Â  A character wearing a g-suit reduces the strain cost to perform a second Pilot Only maneuver during a turn by 1.",armor,0.0,1.0
365,Lector's Outfit,,,,,2,1,525,6,No,,"This set of clothes is fitted with microphones in the collar, allowing the wearer to give a speech on the fly without employing a personal announcement system. Add 1 boost die to social interactions with large groups of listeners. Can be heard clearly over longer distances",armor,0.0,1.0
366,Adverse Environmental Gear,,,,,2,1,500,1,No,,"This is a specialized set of clothing which allow an individual to resist the hostile environment of a planet. When wearing this, an individual may ignore 1 setback die imposed by the harsh conditions of the environment.",armor,0.0,1.0
367,Pioneer Armour,,,,,2,1,200,4,No,,"This suit is designed with a front-line engineer in mind, providing a little necessary protection as well as a set of straps and hooks which allow the wearer to distribute the weight of all their tools and materials.  Increase wearer's encumbrance threshold by 3",armor,0.0,1.0
368,Sakiyan Shadowsuit,,,,,1,1,2500,8,No,,"This outfit is sown from the silk of the umbraspider, used by Sakiyan assassins to remain unseen. The fabric refracts and absorbs light in such a way that makes the wearer invisible.  Add 2 boost dice to Stealth checks",armor,0.0,1.0
369,Crash Gear,,,,,1,1,550,3,No,,"Most sets of crash gear consist of an assortment of protective wear designed to allow a user to better survive inevitable collisions and buffeting that are part of every race or mission. Typical outerwear includes layers of microfiber cloth and impact absorbing gel inserts worked into a jumpsuit or other form-fitting outfit, along with thick gloves and boots. Most importantly, crash gear comes with protective headwear. These can range from small skullcaps (know colloquially as ""skid lids"") to full-face, internally supported, environmentally sealed helmets that can rival military gear. Like crash gear outerwear, crash helmets include get-packs and wicking microfiber but also have strong polycarbonate shells lined with dense polyfoam for greater protection. Some helmets are also equipped with integral face shields or flup-up visors that are tinted and polarized to protect the wearer's eyes from debris and flaring lights. A character wearing crash gear ignores the effects of ongoing Critical Injuries on any Intellect or Cunning-related checks, but still suffers from the injuries themselves, She also cannot be disoriented.",armor,0.0,1.0
370,Polis Massan Bodysuit,,,,,1,1,300,6,No,,Polis Massan have a unique body suit that they employ due to the nature of the work they do upon their asteroid base. Includes a tiny head-mounted multidirection glow rod and integrated utility belt (increases encumbrance threshold by 1),armor,0.0,1.0
371,Pit Crew Overalls,,,,,1,1,150,2,No,,This set of clothing is built with pockets and of a material which may protect the wearer from the hazards of working as a pod racer pit crew. Reduce damage suffered from fire and burn quality by 1. Grants encumbrance threshold +1.,armor,0.0,1.0
372,Verpine Fiber Ultramesh Armour,,,,,3,2,3000,5,No,,"This armour produced by the Verpine colony, used by guards, is an excellent light-weight piece of equipment that provides the user with adequate defense when needed. Power up (or down) the armour with a maneuver. When powered up, wearer gains +2 defense. Power armour may run out of power if an opposing character gets 2 advantages or a triumph result.",armor,0.0,1.0
373,Survivalist Armour,,,,,3,2,350,6,No,,"Creshaldyne Industries known throughout the galaxy as a purveyor of finely made working clothes for hunters, scouts, and others who live in frontier settings. it offers multiple lines of clothing and armor in a number of proprietary colors and camouflage patterns as well as camping and hunting gear for the discerning buyer. One of the company's newer offerings is the Survivalist line of personal armor. Similar in construction to the ubiquitous padded armor found in police forces and paramilitary organizations throughout the galaxy. the Survivalist line is lightweight and hard wearing, and performs well in nearly every environment. A suit of Survivalist armor provides whole-body protection with reinforcement patches at the elbows, knees and shoulders. Each suit features an integrated load-carrying system that combines a collection of pouches of various sizes with attachments for external bags, backpacks and systems to aid with its load-carrying capabilities. Wearing a suit of Survivalist armor increases the wearer's encumbrance threshold by 1.  Increase encumbrance threshold by 1.",armor,0.0,1.0
374,Reinforced Environment Gear,,,,,2,2,850,4,No,,"This gear is virtually an improved adverse environment gear, sold to colonists planning on braving hostile conditions to settle a planet of the fringe.  Ignore 1 setback dice imposed by environmental conditions. Reduce critical injury rolls from fall by 20.  Add 1 boost dice to Resilience checks to resist toxic atmospheres and airborne toxins.",armor,0.0,1.0
