Weapon,Skill,Damage,Crit,Range,Encumbrance,Hard Points,Price,Rarity,Restricted,Qualities,Description
Corellian Cutlass,Melee,2,3,Engaged,2,1,300,3,No,"Defensive 1, Vicious 1","This ornamental blade is traditionally granted to Corellian naval officers when promoted to lieutenant. It is an effective weapon, despite being for show."
Molecular Dagger,Melee,2,3,Engaged,1,1,100,4,No,Pierce 2,"This combat knife sized weapon has a blade with mono-molecular thick edges. This allows them to quickly cut through most armour, but also means it can easily break. Getting 3 disadvantages on a check may cause the blade to shatter."
Cryogen Whip,Melee,2,3,Short,1,1,1550,7,No,"Ensnare 1, Vicious 2, Unwieldy 3",This is a metallic whip which at the core is filled with a super-cooled liquid. It can be used at short range using the same difficulty as engaged (2 purple dice).
Ashla Staff,Melee,2,3,Engaged,4,2,3000,7,No,-,"This weapon is akin to a relic since the Fall of Lasan after the fall of the republic. These staves were created to reflect the mysticism of the Lasan people, imbued with a mysterious power that some may attribute to the force. While wielding this staff, a character may spend 3 strain to add 1 light force result to the results of a force power check."
Bardottan Electrolance,Melee,2,3,Engaged,3,2,300,5,No,"Defensive 2, Stun Setting","This ceremonial weapon is weighted at each side, used traditionally by the Bardottans, mainly by law enforcement. Although being 1 handed, other weapons (not shields) may not be wielded at the same time."
Cortosis Sword,Melee,2,3,Engaged,3,2,1350,7,No,"Cortosis, Defensive 1","This is another form of an ancient sword, however, built to withstand the blow of a lightsaber - making its wielder a dangerous foe to the Jedi and Sith."
Findsman Shockprod,Melee,2,5,Engaged,3,1,1400,6,No,"Cortosis, Defensive 1, Stun Damage","The Findsman are a Force sect from the mist-shrouded world of Gand. Originally religious leaders, the Findsmen once sat atop Gand society in a role that has diminished in the wake of modern sensor technology. The Findsmen of old employed scratch-built shockprods to ply their trade. Part weapon and part tuning fork, their split-ended polearms helped guide the Findsmen through the impenetrable mists. When a character wielding a Findsman shockprod makes a Seek, Sense or Farsight power check, they may add one light or dark side point to the results."
Mon Cal Spear Blaster,Melee,2,3,Engaged,5,3,1350,5,No,Pierce 1,"Wielded by the Mon Calamari during the Battle of Mon Cala, the spear blaster is built for function in and out of water."
Model 7 Therm-Ax,Melee,2,3,Engaged,4,3,850,5,Yes,"Burn 2, Sunder, Vicious 1","This large axe is fitted with conductive coils in the blade which super-heat it up to 500 degrees, allowing it to cut through anything like butter. Requires 2 hands to wield."
Ceremonial Blade,Melee,2,3,Engaged,2,3,650,7,No,Defensive 1,"Distributed to high officials in militaristic cultures of the galaxy, ceremonial blades often display great craftsmanship and ornaments. Taking such a blade off an official may even cause diplomatic disasters. Add 1 boost die when attempting to convince people to let them keep the knife."
Vibrorang,Melee,2,2,Engaged,1,0,300,4,No,"Inaccurate 1, Pierce 2, Vicious 1","Only seen in more remote areas of the galaxy, this throwing weapon has incorporated vibro-blade technology and can be hurled at amazing distances."
Vibro-Machete,Melee,2,2,Engaged,2,1,550,4,No,"Pierce 1, Sunder, Vicious 1",This is simply a machete fitted with the augmentations of a nano-vibration generator.
Kal Dagger,Melee,2,2,Engaged,1,1,4000,8,Yes,"Cortosis, Sunder, Vicious 2","This dagger was the traditional accompanying blade to the Beskad, an elongated hexagonal blade with a bare hilt and lacking a crossguard."
Model 14 Vibrospear,Melee,2,2,Engaged,4,2,490,6,No,"Defensive 1, Pierce 2, Vicious 2","This weapon designed by Merr-Sonn Munitions is a light hunting spear. However, it makes quite a bit of noise, lacking a strong dampener for the nano-vibration generator. May spend 2 disadvantages to have the weapon make a loud noise, adding 2 setback dice to survival checks for tracking an animal."
Vibrorapier,Melee,2,2,Engaged,2,2,1200,7,No,"Defensive 1, Pierce 5",This slender and specially balanced vibrosword is often used by those preferring honourable duels and a more civilised melee fight.
Double-Bladed Vibrosword,Melee,2,2,Engaged,4,3,1300,6,No,"Defensive 1, Linked 1, Pierce 2, Vicious 1, Unwieldy 3","These relatively heavy weapons are extremely difficult to master, but once mastered, they allow a user to take on multiple opponents simultaneously. This weapon requires two hands to wield."
Vibro-Glaive,Melee,2,2,Engaged,3,3,975,6,No,"Defensive 2, Pierce 3","This long weapon, often wielded by the Weequay, is popular due to the ability to keep one's foe at a distance while conducting attacks."
Vibrosword,Melee,2,2,Engaged,3,3,750,5,No,"Defensive 1, Pierce 2, Vicious 1",This is a sword mounted with an ultrasonic vibration generator - to increase the damage dealt by the already razor sharp blade.
Ryyk Blade,Melee,2,2,Engaged,3,3,400,8,No,"Cumbersome 3, Defensive 1, Superior","This is the traditional blade used by the Wookiees, unchanged over a millennia, it is still preferred to the more modern vibro weapons."
Welding Rod,Melee,3,2,Engaged,4,0,1750,5,No,"Breach 1, Inaccurate 2","This tool allows a technician to both weld together and cut metal apart rapidly, used extensively in all sorts of work-zones. However, they are somewhat dangerous to use without proper PPE. Add an automatic success result to Mechanics checks to repair droids, vehicles and starships.

A despair result may cause the user to suffer a critical injury."
Cortosis Staff (Refined),Melee,3,5,Engaged,4,2,2500,7,No,Cortosis,"A simple tool and weapon, used by those training in martial arts and the way of the jedi, this weapon has the ability to disrupt lightsabers. While in combat with a lightsaber wielder, may spend 3 disadvantage results from an opponent's combat roll targeting them to short out the lightsaber. Alternatively, may spend 3 advantage results from own combat check to short out the opponent's lightsaber."
AB-75 Bo-Rifle,Melee,3,4,Engaged,4,4,900,7,Yes,Stun Setting,"The Bo-Rifle was once a ceremonial weapon of the Honor Guard of Lasan. Used by the best warriors among the Lasat, these weapons were designed as a melee and ranged weapon."
Poleaxe,Melee,3,3,Engaged,5,1,610,4,No,"Defensive 1, Pierce 2, Unwieldy 2",This thin poleweapon is tipped with an axe sporting a monomolecular edge - making it especially effective in combat.
Duskblade,Melee,3,3,Engaged,2,1,1800,8,No,"Pierce 2, Superior","This short sword is the most common blade wielded by the Nightsisters of Dathomir. Used both in combat and as a ceremonial piece, it was designed to be both beautiful and deadly."
Huntsman Vibrospear,Melee,3,3,Engaged,4,2,950,6,No,"Pierce 2, Vicious 2","This is produced by the fine vibro-weapon crafting group LaserHone. Quite a rare model, the spear's loud motor is built into the shaft, which itself is made out of sound-deafening materials. Requires two hands to wield."
Selonian Glaive,Melee,3,3,Engaged,5,3,1200,7,No,"Defensive 1, Pierce 3","Individually crafted by Selonian females as a rite of passage, these weapons are often of sublime craftsmanship. The blades are made out of a particularly stronger form of obsidian, providing a deadly cutting edge."
Beskad,Melee,3,2,Engaged,4,2,6500,8,Yes,"Cortosis, Cumbersome 3, Sunder, Vicious 3","Crafted from Beskar, this saber is a heavy single-handed short sword traditionally wielded by the Mandalorians."
Mon Calamari Energy Lance,Melee,3,2,Engaged,4,2,1500,6,No,"Cumbersome 3 (dismounted), Pierce 3","These weapons are made to be used from a mount, against light vehicles and droids. However, they may inflict considerable damage upon organic beings too. May use brawn of their mount to determine the damage of the weapon instead of their own."
Powersword,Melee,3,2,Engaged,4,3,1050,6,No,"Cumbersome 3, Pierce 2, Sunder, Knockdown, Vicious 2","Powerswords are oversized vibroswords with high output vibrofield generators. This weapon is designed for heavy slashes and cuts, too heavy for precision dueling. This weapon requires two hands to wield."
Vibro-Greatsword,Melee,3,2,Engaged,4,3,900,6,No,"Defensive 1, Pierce 2, Vicious 2","This is a much larger and heavier vibro-sword, favoured by the truly skilled and stronger swordsmen. Requires 2 hands to wield."
Vibro-ax,Melee,3,2,Engaged,4,3,750,5,No,"Pierce 2, Sunder, Vicious 3",This massive pole-axe has a head which has an ultrasonic vibration generator which enhances its damaging power.
Mon Calamari Coral Pike,Melee,3,2,Engaged,3,3,1000,6,No,"Defensive 1, Pierce 2","These hand-made weapons are crafted as a ceremonial display of rank and family status. However, they have a near monomolecular edge, expertly produced."
Force Pike,Melee,3,2,Engaged,3,3,500,4,No,"Pierce 2, Stun Setting","This weapon is commonly used for herding, but yields results in the right hands for combat."
Thermal Cutter,Melee,4,4,Engaged,2,0,125,3,No,"Burn 1, Inaccurate 2",This piece of Corpora-Tech equipment is designed for cold-weather expeditions as it allows to cut through and melt ice and snow in one's path. It has a charge of 5 minutes of continuous use (may be plugged into fusion lantern to recharge). 
Tuskbeast Pike,Melee,4,3,Engaged,3,1,1050,8,No,"Defensive 1, Knockdown","Originally designed for hunting the giant and mutated tuskbeasts, now that they are extinct, the supply is limited. This is due to the fact that they were traditionally carved from the tusks of the beast. Requires 2 hands to wield."
Weik Greatsword,Melee,4,3,Engaged,4,2,315,8,No,"Cumbersome 4, Defensive 1",This especially large weapon was once used by force sensitives before the availability of lightsabers.
Electrostaff,Melee,4,3,Engaged,4,3,4500,6,No,"Cortosis, Cumbersome 3, Linked 1, Stun Setting, Unwieldy 3","This double sided weapon is weaved with cortosis, allowing it to be used as an effective weapon against lightsaber wielding foes."
Vibrosaw,Melee,4,2,Engaged,6,3,1500,5,No,"Cumbersome 5, Pierce 2, Sunder, Vicious 2","This weapon is often used by wood-working companies, consisting of a large blade with an extremely loud motor and is especially bulky to use."
Fear Stick,Melee,5,-,Engaged,1,0,1500,8,No,"Limited Ammo 3, Pierce 1, Stun Damage","This small weapon is made to be discrete. It contains a potent neurologic component which is able to illicit an overwhelming fear response in the target. Add 2 setback dice to Perception checks to find a fear stick on the wearer's body.

May spend critical success result to force a living (non droid) target to make a formidable (5 difficulty) Fear check."
Electromag-Pulse Disruptor,Melee,5,4,Engaged,1,0,180,5,No,"Disorient 1, Ion","This slim weapon is particularly useful at fighting off droids in a combat situation, as well as for general electronic sabotage. Add 2 boost dice to checks for sabotaging electronics or computer systems. Add 1 setback dice to Perception checks for finding this weapon."
G9-GP Pulse Drill,Melee,5,4,Engaged,5,2,1100,4,No,"Breach 1, Cumbersome 3, Inaccurate 2","This is a beam drill that is quite bulky but very useful for quick cutting in a pinch. However, it is also capable of being used as an improvised weapon."
Thunderbolt Shock Prod,Melee,5,3,Engaged,2,2,875,6,No,"Concussive 1, Stun Damage","This is a particularly heavy weapon and brutal, mostly used on thick skinned creatures or herd animals. It is often seen as a symbol of an oppressive regime or animal agriculture."
TZ-97 Shock Baton,Melee,5,4,Engaged,2,2,900,6,No,"Concussive 1, Stun Damage","This baton was specifically distributed to clone military police and anti-riot units, often seen in the streets of Coruscant with Shock Trooper patrols. The charge stored often short-circuits most sentients' nervous systems."
Fusion Cutter,Melee,5,3,Engaged,2,0,175,2,No,"Breach 1, Burn 3, Sunder, Vicious 3","Fusion cutters are used for cutting through the hardest alloys such as durasteel, duraplast and armoured ship hulls. However, they can also be used as a crude weapon."
Z2 Stun Baton,Melee,5,2,Engaged,2,2,875,6,No,"Concussive 1, Stun Damage","This weapon is a typical police truncheon, except packed with an extra punch in the form of a stun blast. It is used extensively by enforcers and riot police in the fringe."
Arg'garok,Melee,5,3,Engaged,5,3,1000,7,No,"Cumbersome 5, Inaccurate 1, Pierce 1, Sunder","This massive vibro-ax is traditionally used by the Gamorrean. They are actually a poorly built and unnecessarily oversized weapons, used only by the most excessive and brawly people. Requires 2 hands to wield."
Electronet,Melee,6,6,Engaged,2,0,350,6,No,"Ensnare 5, Knockdown, Limited Ammo 1, Stun Damage",This net is made up of stun weave and beads which may be used to trap and capture a target alive.
CS-12 Stun Master,Melee,6,3,Engaged,1,0,575,3,No,"Disorient 2, Stun Damage","This extremely small weapon is convenient for keeping hidden, and is legal to conceal and carry on most worlds - as it makes an excellent personal defense non-lethal tool. Add 1 setback die to a character's Perception check to find the weapon."
Shockprod Staff,Melee,7,3,Short,4,3,1500,7,No,"Disorient 2, Stun Setting","This staff is a traditional weapon of the Gand. It is built from strong alloys, tipped with a powerful set of electrodes which generate a strong stun field. The electrical field can be fired as a bolt of energy up to a few metres away. This weapon requires two hands to wield."
Morgukai Cortosis Staff,Melee,8,1,Engaged,3,0,9000,10,Yes,"Breach 1, Cortosis, Defensive 1","Used by a cult that fought both Sith and Jedi alike, these staves are built out of a cortosis weave, making them resistant to lightsaber's power. They also use the same sort of plasma weaponry as a lightsaber."
J-7b Beamdrill,Melee,9,2,Engaged,6,0,3000,5,No,"Breach 1, Cumbersome 4, Inaccurate 2, Sunder","The standard drill used by the Corellian Mining Corporation, this tool has been used since before the Clone Wars. Used as a makeshift weapon, the drill can be extremely lethal."
Ion Pike,Melee,10,3,Engaged,2,1,750,6,No,"Inaccurate 1, Ion, Pierce 4","Used by more ruthless droid owners, the pike is capable of quickly disabling a malfunctioning or escaped droid. The pointed tip is used to pierce the armour plating of a droid, allowing the ion charge to release directly into the circuits."
Training Stick,Lightsaber,1,5,Engaged,2,0,35,3,No,"Accurate 1, Disorient 1, Stun Damage",This stick looks like little more than a walking stick - but is actually perfectly balanced for melee combat training for lightsabers. Add 3 setback dice to realize the stick is a weapon.
Ancient Sword,Lightsaber,2,3,Engaged,3,1,350,8,No,Defensive 1,"This old physical weapon is from a time before lightsabers, used by the Jedi and Sith alike in their ancient battles."
